mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
4;2;2;8;512;39062;50;0.001;input_data_512.h5;;par;45.244293;2.427536885254085;6.21457397279731e-05
4;2;2;8;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmalek17/487203/512x512_out_hybrid_2d_par.h5;par;45.24429;2.470398036763072;6.324299925152506e-05
4;2;2;8;512;39062;50;0.001;input_data_512.h5;
4;2;2;8;1024;19531;50;0.001;input_data_1024.h5;;par;29.22687;3.6382748810574412;0.00018628205832048748
4;2;2;8;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmalek17/487203/1024x1024_out_hybrid_2d_par.h5;par;29.226871;3.6384112648665905;0.00018628904126089758
4;2;2;8;1024;19531;50;0.001;input_data_1024.h5;
4;2;2;8;1024;19531;50;0.001;input_data_1024.h5;;par;29.226871;3.835430501960218;0.00019637655532027127
4;2;2;8;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmalek17/487203/1024x1024_out_hybrid_2d_par.h5;par;29.226873;3.831247229129076;0.00019616236900973203
4;2;2;8;1024;19531;50;0.001;input_data_1024.h5;
4;2;2;8;2048;9765;50;0.001;input_data_2048.h5;;par;23.293827;7.513563361950219;0.0007694381323041699
4;2;2;8;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmalek17/487203/2048x2048_out_hybrid_2d_par.h5;par;23.293827;7.332150114700198;0.0007508602267998155
4;2;2;8;2048;9765;50;0.001;input_data_2048.h5;
4;2;2;8;2048;9765;50;0.001;input_data_2048.h5;;par;23.293827;8.018212755210698;0.0008211175376559854
4;2;2;8;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmalek17/487203/2048x2048_out_hybrid_2d_par.h5;par;23.293827;7.668318866752088;0.0007852861102664709
4;2;2;8;2048;9765;50;0.001;input_data_2048.h5;
4;2;2;8;4096;4882;50;0.001;input_data_4096.h5;;par;21.17162;14.899343118071556;0.003051893305627111
4;2;2;8;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmalek17/487203/4096x4096_out_hybrid_2d_par.h5;par;21.171621;15.2860835948959;0.0031311109370946127
4;2;2;8;4096;4882;50;0.001;input_data_4096.h5;
4;2;2;8;4096;4882;50;0.001;input_data_4096.h5;;par;21.17162;15.091982474550605;0.0030913524118292924
4;2;2;8;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmalek17/487203/4096x4096_out_hybrid_2d_par.h5;par;21.171621;15.595049110241234;0.0031943976055389665
4;2;2;8;4096;4882;50;0.001;input_data_4096.h5;
16;4;4;8;256;78125;50;0.001;input_data_256.h5;;par;62.899445;1.9496581051498652;2.4955623745918272e-05
16;4;4;8;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmalek17/487203/256x256_out_hybrid_2d_par.h5;par;62.89945;1.9344027023762465;2.4760354590415956e-05
16;4;4;8;256;78125;50;0.001;input_data_256.h5;
16;4;4;8;256;78125;50;0.001;input_data_256.h5;;par;62.899445;3.5477946987375617;4.541177214384079e-05
16;4;4;8;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmalek17/487203/256x256_out_hybrid_2d_par.h5;par;62.899445;3.538075242191553;4.528736310005188e-05
16;4;4;8;256;78125;50;0.001;input_data_256.h5;
16;4;4;8;512;39062;50;0.001;input_data_512.h5;;par;44.66943;1.4350094683468342;3.6736712619600484e-05
16;4;4;8;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmalek17/487203/512x512_out_hybrid_2d_par.h5;par;44.669426;1.4217013511806726;3.63960204592871e-05
16;4;4;8;512;39062;50;0.001;input_data_512.h5;
16;4;4;8;512;39062;50;0.001;input_data_512.h5;;par;44.669426;2.2081570103764534;5.652954304378817e-05
16;4;4;8;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmalek17/487203/512x512_out_hybrid_2d_par.h5;par;44.669426;2.2145182508975267;5.669239288560562e-05
16;4;4;8;512;39062;50;0.001;input_data_512.h5;
16;4;4;8;1024;19531;50;0.001;input_data_1024.h5;;par;29.212494;1.418004802428186;7.260277519984567e-05
16;4;4;8;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmalek17/487203/1024x1024_out_hybrid_2d_par.h5;par;29.212494;1.4264902863651514;7.303723753853624e-05
16;4;4;8;1024;19531;50;0.001;input_data_1024.h5;
16;4;4;8;1024;19531;50;0.001;input_data_1024.h5;;par;29.212494;1.8472402514889836;9.457991149910316e-05
16;4;4;8;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmalek17/487203/1024x1024_out_hybrid_2d_par.h5;par;29.212494;1.8441612422466278;9.44222642080092e-05
16;4;4;8;1024;19531;50;0.001;input_data_1024.h5;
16;4;4;8;2048;9765;50;0.001;input_data_2048.h5;;par;23.293827;2.233722402714193;0.00022874781389802283
